Gmag,sigma
2.0,2.3200756010842443
2.5,2.320238568734251
3.0,2.320496720260872
3.5,2.3209055249628174
4.0,2.3215525907260797
4.5,2.3225760065214742
5.0,2.324192742832743
5.5,2.3267420302003763
6.0,2.3307502025812608
6.5,2.3370243822143855
7.0,2.346780765588899
7.5,2.3618061552370957
8.0,2.3846369008212007
8.5,2.418725156917371
9.0,2.4685777496151067
9.5,2.539937976566806
10.0,2.640212354136381
10.5,2.7793809540721734
11.0,2.97145567681823
11.5,3.2362301781286993
12.0,3.6007426577939707
12.5,4.099862497516496
13.0,4.7760946019822095
13.5,5.679630225874664
14.0,6.869817287457529
14.5,8.418519434458997
15.0,10.415246348338576
15.5,12.97404184721201
16.0,16.242736591246178
16.5,20.416063938363294
17.0,25.755386233610114
17.5,32.619764726577955
18.0,41.51649229249027
18.5,53.18522047222661
19.0,68.7407403221258
19.5,89.91848358601183
20.0,119.49555492373713
20.5,161.99569404883164
21.0,224.8253050960349
21.5,320.0414613436506
22.0,467.06528973360633
22.5,696.884111546003
23.0,1058.6666350415658
23.5,1630.273080740045
24.0,2534.9732199279492
24.5,3967.996214545235
